year,state_name,county_name,country_code,commodity_desc,class_desc,unit_desc,freq_desc,group_desc,source_desc,sector_desc,commodity_desc,statisticcat_desc,begin_code,Value
2021,OKLAHOMA,CRAIG,9000,CORN,ALL CLASSES,BU,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,PRODUCTION,00,"281,000"
2021,VIRGINIA,FREDERICK,9000,CORN,ALL CLASSES,BU,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,PRODUCTION,00,"516,000"
2020,COLORADO,,9000,CORN,ALL CLASSES,PCT POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,CONDITION,34,18
2022,KENTUCKY,,9000,CORN,ALL CLASSES,PCT FAIR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, PREVIOUS YEAR",28,14
2022,NEW YORK,,9000,CORN,ALL CLASSES,PCT PLANTED,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, 5 YEAR AVG",24,84
2020,MONTANA,,9000,CORN,ALL CLASSES,PCT VERY POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,CONDITION,39,1
2022,MISSOURI,,9000,CORN,ALL CLASSES,PCT EXCELLENT,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, PREVIOUS YEAR",27,8
2022,KANSAS,,9000,CORN,ALL CLASSES,PCT DOUGH,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, PREVIOUS YEAR",34,90
2022,NORTH DAKOTA,KIDDER,9000,CORN,ALL CLASSES,BU / ACRE,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,YIELD,00,114.7
2023,COLORADO,,9000,CORN,ALL CLASSES,PCT HARVESTED,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, 5 YEAR AVG",35,20
2020,CONNECTICUT,,9000,CORN,ALL CLASSES,PCT EMERGED,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, PREVIOUS YEAR",23,19
2023,KENTUCKY,,9000,CORN,ALL CLASSES,PCT GOOD,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, PREVIOUS YEAR",33,25
2022,WASHINGTON,,9000,CORN,ALL CLASSES,PCT GOOD,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,CONDITION,31,73
2020,NEW YORK,RENSSELAER,9000,CORN,ALL CLASSES,ACRES,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,AREA HARVESTED,00,"3,640"
2023,ARKANSAS,,9000,CORN,ALL CLASSES,PCT GOOD,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, PREVIOUS YEAR",30,49
2021,US TOTAL,,9000,CORN,ALL CLASSES,PCT DENTED,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, 5 YEAR AVG",31,11
2020,IOWA,SIOUX,9000,CORN,ALL CLASSES,BU / ACRE,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,YIELD,00,201.8
2020,OHIO,,9000,CORN,ALL CLASSES,PCT HARVESTED,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, 5 YEAR AVG",38,3
2020,WEST VIRGINIA,,9000,CORN,ALL CLASSES,PCT VERY POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, 5 YEAR AVG",39,3
2023,PENNSYLVANIA,,9000,CORN,ALL CLASSES,PCT HARVESTED,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, 5 YEAR AVG",36,-1
2020,NORTH CAROLINA,PAMLICO,9000,CORN,ALL CLASSES,ACRES,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,AREA HARVESTED,00,"16,100"
2021,NORTH DAKOTA,ROLETTE,9000,CORN,ALL CLASSES,TONS,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,PRODUCTION,00,"13,200"
2023,DELAWARE,,9000,CORN,ALL CLASSES,PCT FAIR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,CONDITION,34,22
2022,MINNESOTA,,9000,CORN,ALL CLASSES,PCT BY TYPE,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,AREA PLANTED,00,4
2023,LOUISIANA,,9000,CORN,ALL CLASSES,PCT PLANTED,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, PREVIOUS YEAR",14,89
2021,KENTUCKY,,9000,CORN,ALL CLASSES,PCT POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,CONDITION,41,3
2023,NORTH CAROLINA,WARREN,9000,CORN,ALL CLASSES,ACRES,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,AREA HARVESTED,00,"2,040"
2023,DELAWARE,,9000,CORN,ALL CLASSES,PCT FAIR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, PREVIOUS YEAR",23,5
2021,MAINE,,9000,CORN,ALL CLASSES,PCT EXCELLENT,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,CONDITION,31,0
2023,ALABAMA,,9000,CORN,ALL CLASSES,BU,POINT IN TIME,FIELD CROPS,SURVEY,CROPS,CORN,STOCKS,09,                 (D)
2021,MISSOURI,,9000,CORN,ALL CLASSES,PCT VERY POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, 5 YEAR AVG",21,3
2022,MICHIGAN,CHARLEVOIX,9000,CORN,ALL CLASSES,ACRES,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,AREA HARVESTED,00,"1,880"
2023,KENTUCKY,TODD,9000,CORN,ALL CLASSES,ACRES,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,AREA PLANTED,00,"49,500"
2020,WEST VIRGINIA,,9000,CORN,ALL CLASSES,PCT VERY POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, 5 YEAR AVG",38,3
2023,MAINE,,9000,CORN,ALL CLASSES,PCT VERY POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,CONDITION,26,0
2020,IOWA,,9000,CORN,ALL CLASSES,PCT SILKING,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, PREVIOUS YEAR",32,90
2023,TENNESSEE,OTHER COUNTIES,9000,CORN,ALL CLASSES,BU / ACRE,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,YIELD,00,170.7
2022,NORTH DAKOTA,,9000,CORN,ALL CLASSES,PCT POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, PREVIOUS YEAR",31,31
2020,NORTH CAROLINA,,9000,CORN,ALL CLASSES,PCT POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, 5 YEAR AVG",20,4
2020,NORTH DAKOTA,,9000,CORN,ALL CLASSES,PCT VERY POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, 5 YEAR AVG",31,2
